tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,8,122.38,13.12,8.38,185.38,17,0.150781,0.148594,0.141875,0.098203,25600
2000,8,125.25,13.12,8.38,182.50,25,0.146278,0.145375,0.136625,0.103640,24344
3000,8,122.38,13.12,8.38,164.38,33,0.145616,0.144793,0.137215,0.103241,24283
4000,8,122.38,13.12,8.38,164.38,42,0.145521,0.145398,0.137060,0.104407,24347
5000,8,122.38,13.12,8.38,164.38,54,0.145714,0.145386,0.137254,0.104522,24349
6000,8,122.38,13.12,8.38,164.38,65,0.145416,0.145499,0.137221,0.104687,24282
7000,8,122.38,13.12,8.38,164.38,74,0.145705,0.145128,0.137015,0.104893,24282
8000,9,121.78,13.22,8.44,168.89,86,0.145726,0.145191,0.137084,0.104408,24299
9000,8,122.38,13.12,8.38,138.38,95,0.146059,0.145605,0.135658,0.103137,24230
10000,8,122.38,13.12,8.38,139.38,106,0.145745,0.145167,0.137329,0.104822,24241
11000,8,122.38,13.12,8.38,139.38,118,0.145620,0.145414,0.117742,0.104957,24248
12000,9,109.11,13.22,8.44,148.44,127,0.145051,0.145380,0.098403,0.104537,24288
13000,8,122.38,13.12,8.38,139.38,138,0.145639,0.145105,0.096257,0.104720,24341
14000,8,122.38,13.12,8.38,139.38,150,0.145779,0.145532,0.090643,0.104293,24249
15000,8,122.38,13.12,8.38,139.38,159,0.145398,0.145976,0.097276,0.104746,24230
16000,7,139.43,13.00,8.29,131.14,170,0.181719,0.145610,0.080996,0.104234,23927
17000,6,129.67,12.83,8.17,133.33,183,0.332664,0.145816,0.027114,0.103886,23420
18000,7,139.57,13.00,8.29,108.57,192,0.373169,0.146111,0.010868,0.102508,23003
19000,7,140.57,13.00,8.29,119.71,198,0.374343,0.146025,0.010766,0.103307,23222
20000,7,133.86,13.00,8.29,143.71,206,0.372217,0.146506,0.010958,0.101812,23180
21000,8,117.25,13.12,8.38,169.25,214,0.373571,0.146289,0.010782,0.102859,23187
22000,11,89.36,13.36,8.55,155.55,221,0.373896,0.146364,0.011255,0.102814,23100
23000,6,138.00,12.83,8.17,119.17,228,0.374095,0.146587,0.010772,0.102809,23208
24000,10,97.90,13.30,8.50,142.30,235,0.372813,0.145548,0.011086,0.101377,23092
25000,10,96.40,13.30,8.50,163.40,240,0.374596,0.146421,0.010924,0.101022,22886
26000,7,139.57,13.00,8.29,113.00,245,0.374301,0.146391,0.011013,0.102985,23246
27000,12,84.50,13.42,8.58,169.17,253,0.372938,0.146499,0.010969,0.100430,22792
28000,6,136.83,12.83,8.17,153.50,260,0.371583,0.146129,0.010866,0.099796,23007
29000,12,86.83,13.42,8.58,145.58,267,0.369998,0.146385,0.010792,0.101317,23165
30000,7,138.71,13.00,8.29,85.86,274,0.370564,0.146609,0.010980,0.100712,22768
