tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,527.00,5.50,537.50,252.50,5330,5320,1425,23275,0.229001,0.228571,0.061224,0.174051,0.000000,6
2000,20,524.10,5.50,1027.90,252.60,4774,4780,1410,20098,0.237536,0.237835,0.070156,0.000000,0.000000,16
3000,19,571.05,5.37,1686.11,253.26,4636,4640,1162,19182,0.241685,0.241893,0.060578,0.000000,0.000000,25
4000,18,613.33,5.22,2369.78,253.44,4540,4534,1057,18416,0.246525,0.246199,0.057396,0.000000,0.000000,35
5000,18,622.72,5.22,2965.33,253.83,4481,4491,1011,18070,0.247980,0.248533,0.055949,0.000000,0.000000,45
6000,18,630.78,5.22,3601.33,252.94,4481,4481,1008,18063,0.248076,0.248076,0.055805,0.000000,0.000000,54
7000,18,628.61,5.22,4196.89,252.44,4494,4483,1012,18070,0.248700,0.248091,0.056004,0.000000,0.000000,64
8000,18,623.67,5.22,4792.44,254.39,4484,4495,1008,18070,0.248146,0.248755,0.055783,0.000000,0.000000,74
9000,18,629.78,5.22,5428.44,253.50,4481,4481,1008,18063,0.248076,0.248076,0.055805,0.000000,0.000000,83
10000,18,635.94,5.22,6047.11,252.44,4499,4489,963,18066,0.249031,0.248478,0.053305,0.000000,0.000000,93
11000,18,669.17,5.22,6732.94,252.89,4506,4512,866,18045,0.249709,0.250042,0.047991,0.000000,0.000000,102
12000,18,682.11,5.22,7389.89,253.28,4505,4507,863,18050,0.249584,0.249695,0.047812,0.000000,0.000000,112
13000,18,678.72,5.22,8036.00,253.22,4514,4506,864,18050,0.250083,0.249640,0.047867,0.000000,0.000000,122
14000,18,682.11,5.22,8721.83,253.28,4502,4511,867,18045,0.249487,0.249986,0.048047,0.000000,0.000000,131
15000,18,679.50,5.22,9378.78,250.83,4506,4439,865,18050,0.249640,0.245928,0.047922,0.000000,0.000000,141
16000,18,686.33,5.22,10064.61,247.61,4514,4362,864,18045,0.250152,0.241729,0.047880,0.000000,0.000000,150
17000,17,719.06,5.06,11348.82,254.06,4508,4370,825,18036,0.249945,0.242293,0.045742,0.000000,0.000000,160
18000,17,715.76,5.06,12046.76,253.35,4360,4360,723,17040,0.255869,0.255869,0.042430,0.000000,0.000000,170
19000,16,763.38,4.88,13562.00,252.62,4282,4276,636,16453,0.260256,0.259892,0.038656,0.000000,0.000000,179
20000,16,760.88,4.88,14306.06,254.38,4217,4227,576,16030,0.263069,0.263693,0.035933,0.000000,0.000000,189
21000,16,757.12,4.88,15037.94,253.25,4217,4215,576,16030,0.263069,0.262944,0.035933,0.000000,0.000000,199
22000,16,761.75,4.88,15801.50,252.81,4224,4216,575,16027,0.263555,0.263056,0.035877,0.000000,0.000000,208
23000,16,758.12,4.88,16545.56,253.69,4215,4225,578,16030,0.262944,0.263568,0.036057,0.000000,0.000000,218
24000,16,762.06,4.88,17309.12,252.81,4217,4215,577,16027,0.263118,0.262994,0.036002,0.000000,0.000000,227
25000,16,762.44,4.88,18053.19,253.06,4227,4218,575,16030,0.263693,0.263132,0.035870,0.000000,0.000000,237
26000,16,758.19,4.88,18797.25,253.94,4214,4225,576,16030,0.262882,0.263568,0.035933,0.000000,0.000000,247
27000,16,761.44,4.88,19560.81,253.50,4216,4216,577,16027,0.263056,0.263056,0.036002,0.000000,0.000000,256
28000,16,762.69,4.88,20304.88,252.00,4228,4214,577,16030,0.263755,0.262882,0.035995,0.000000,0.000000,266
29000,16,761.88,4.88,21056.25,253.88,4213,4227,576,16027,0.262869,0.263742,0.035939,0.000000,0.000000,275
30000,16,759.81,4.88,21800.31,253.69,4217,4217,575,16030,0.263069,0.263069,0.035870,0.000000,0.000000,285
31000,15,807.27,4.67,24046.00,252.73,4207,4201,563,15931,0.264076,0.263700,0.035340,0.000000,0.000000,295
32000,15,808.53,4.67,24856.20,253.93,4071,4081,431,15018,0.271075,0.271741,0.028699,0.000000,0.000000,304
33000,15,807.33,4.67,25652.53,253.40,4073,4072,433,15020,0.271172,0.271105,0.028828,0.000000,0.000000,314
34000,15,808.13,4.67,26448.87,253.33,4082,4073,431,15020,0.271771,0.271172,0.028695,0.000000,0.000000,324
35000,15,809.40,4.67,27259.07,254.07,4071,4080,432,15018,0.271075,0.271674,0.028765,0.000000,0.000000,333
36000,15,804.47,4.67,28042.40,253.33,4070,4071,433,15020,0.270972,0.271039,0.028828,0.000000,0.000000,343
37000,15,810.13,4.67,28852.60,252.60,4083,4072,432,15018,0.271874,0.271141,0.028765,0.000000,0.000000,352
38000,15,807.87,4.67,29648.93,253.67,4072,4081,432,15020,0.271105,0.271704,0.028762,0.000000,0.000000,362
39000,15,805.33,4.67,30445.27,253.60,4071,4073,431,15020,0.271039,0.271172,0.028695,0.000000,0.000000,372
40000,15,810.27,4.67,31255.47,253.20,4082,4072,433,15018,0.271807,0.271141,0.028832,0.000000,0.000000,381
41000,15,807.47,4.67,32051.80,253.80,4071,4080,433,15020,0.271039,0.271638,0.028828,0.000000,0.000000,391
42000,15,809.73,4.67,32862.00,253.40,4072,4072,431,15018,0.271141,0.271141,0.028699,0.000000,0.000000,400
43000,15,810.00,4.67,33658.33,252.87,4081,4072,432,15020,0.271704,0.271105,0.028762,0.000000,0.000000,410
44000,15,805.20,4.67,34441.67,253.87,4071,4081,432,15020,0.271039,0.271704,0.028762,0.000000,0.000000,420
45000,15,807.47,4.67,35251.87,253.47,4072,4072,432,15018,0.271141,0.271141,0.028765,0.000000,0.000000,429
46000,15,808.33,4.67,36048.20,252.93,4082,4072,433,15020,0.271771,0.271105,0.028828,0.000000,0.000000,439
47000,15,806.00,4.67,36844.53,254.47,4072,4082,431,15020,0.271105,0.271771,0.028695,0.000000,0.000000,449
48000,15,807.67,4.67,37654.73,253.60,4071,4071,432,15018,0.271075,0.271075,0.028765,0.000000,0.000000,458
49000,15,808.60,4.67,38451.07,252.60,4082,4071,432,15020,0.271771,0.271039,0.028762,0.000000,0.000000,468
50000,15,810.00,4.67,39261.27,253.33,4071,4080,433,15018,0.271075,0.271674,0.028832,0.000000,0.000000,477
